Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	SNR NIST Quick (dB FS)	File Offset (s)	End File	Begin File	Sound Type
92	Spectrogram 1	1	709.0814418	712.0891573	358.5	900.3	3.0077	-55.91	11.81	709.0814	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_Halbend
93	Spectrogram 1	1	714.8040847	715.6454037	661.334	980.034	0.8413	-53.27	17.48	714.8041	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurP_P1
94	Spectrogram 1	1	716.7463434	717.5245635	605.247	1043.447	0.7782	-46.97	24.18	716.7463	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurP_P2
95	Spectrogram 1	1	718.6542651	719.3062874	609.87	1024.17	0.652	-47.28	24.38	718.6543	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurP_P3
96	Spectrogram 1	1	720.3595859	721.158839	786.238	1096.938	0.7993	-56.63	19.45	720.3596	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurP_P4
97	Spectrogram 1	1	722.3810353	723.2223544	736.526	1007.426	0.8413	-50.22	26.87	722.381	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurP_P5
98	Spectrogram 1	1	726.2473895	727.1307744	23.9	255	0.8834	-39.65	16.95	726.2474	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurS_S1
99	Spectrogram 1	1	728.7923795	729.5705996	47.8	247	0.7782	-39.41	20.53	728.7924	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurS_S2
100	Spectrogram 1	1	731.1270398	732.1155896	39.8	239	0.9885	-38.18	19.14	731.127	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurS_S3
101	Spectrogram 1	1	733.6720298	734.6605797	31.9	247	0.9885	-37.93	19.02	733.672	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurS_S4
102	Spectrogram 1	1	736.1296736	737.0340916	31.9	207.2	0.9044	-40.26	18.7	736.1297	S00974_20190811_101922.wav	S00974_20190811_101922.wav	3_PwurS_S5
